Country Name,Country Code,"Physicians (per 1,000 people)","Nurses and midwives (per 1,000 people)","Tuberculosis case detection rate (%, all forms)"
Afghanistan,AFG,0.2782,0.1755,68
Algeria,DZA,1.7879,2.2228,80
Andorra,AND,3.3333,4.0128,87
Angola,AGO,0.2146,0.4075,51
Antigua and Barbuda,ATG,2.956,4.4969,87
Argentina,ARG,3.9901,2.5996,87
Armenia,ARM,4.4023,6.107,80
Australia,AUS,3.6778,12.5508,87
Austria,AUT,5.1697,7.0899,87
Azerbaijan,AZE,3.446,6.4338,80
"Bahamas, The",BHS,2.0068,3.2512,87
Bahrain,BHR,0.9257,2.4944,87
Bangladesh,BGD,0.5433,0.3163,69
Barbados,BRB,2.4843,3.0189,87
Belarus,BLR,5.1905,11.0027,80
Belgium,BEL,3.0709,18.9734,87
Belize,BLZ,1.1229,185.314,87
Benin,BEN,0.0791,0.3888,55
Bhutan,BTN,0.4024,1.6349,80
Bolivia,BOL,1.5901,1.5589,61
Bosnia and Herzegovina,BIH,2.1616,5.5647,80
Botswana,BWA,0.5269,5.403,80
Brazil,BRA,2.1652,9.737,87
Brunei Darussalam,BRN,1.609,6.0989,87
Bulgaria,BGR,4.0332,4.8156,80
Burkina Faso,BFA,0.0847,0.8829,59
Burundi,BDI,0.1001,0.8526,63
Cabo Verde,CPV,0.7814,1.28,80
Cambodia,KHM,0.1927,0.7007,66
Cameroon,CMR,0.38815,1.37377451,51
Canada,CAN,2.6102,9.9491,87
Central African Republic,CAF,0.0721,0.2063,39
Chad,TCD,0.0434,0.2322,55
Chile,CHL,2.4411,12.1372,87
China,CHN,1.9798,2.6621,87
Colombia,COL,2.1064,1.2714,80
Comoros,COM,0.2715,0.6285,45
"Congo, Dem. Rep.",COD,0.074,0.8974,57
"Congo, Rep.",COG,0.38815,0.6271,52
Costa Rica,CRI,2.9533,3.1798,80
Cote d'Ivoire,CIV,0.2314,0.5558,58
Croatia,HRV,2.9996,8.1224,87
Cuba,CUB,8.295,7.7286,87
Cyprus,CYP,1.9509,5.2512,87
Czech Republic,CZE,4.0676,8.3955,87
Denmark,DNK,4.0099,10.3195,87
Djibouti,DJI,0.2237,0.7288,80
Dominica,DMA,1.1189,6.0979,87
Dominican Republic,DOM,1.56,1.1697,80
Ecuador,ECU,2.0368,2.8265,80
"Egypt, Arab Rep.",EGY,0.7993,1.9271,64
El Salvador,SLV,1.5662,1.8375,80
Equatorial Guinea,GNQ,0.4017,0.5024,60
Eritrea,ERI,0.0628,1.3267,61
Estonia,EST,3.4629,6.5272,87
Eswatini,SWZ,0.3285,3.9394,80
Ethiopia,ETH,0.0986,0.8286,67
Fiji,FJI,0.86,3.3752,80
Finland,FIN,3.8118,14.7374,87
France,FRA,3.2565,11.162,83
Gabon,GAB,0.6819,2.946,48
"Gambia, The",GMB,0.1021,1.5447,65
Georgia,GEO,6.1297,4.8564,76
Germany,DEU,4.2488,13.2352,87
Ghana,GHA,0.1359,2.3519,32
Greece,GRC,5.4789,3.6331,87
Grenada,GRD,1.4067,3.0568,87
Guatemala,GTM,0.3549,0.0686,80
Guinea,GIN,0.0832,0.1238,65
Guinea-Bissau,GNB,0.1274,0.6851,34
Guyana,GUY,0.8023,0.7869,80
Haiti,HTI,0.2343,0.6798,75
Honduras,HND,0.3089,0.7378,80
Hungary,HUN,3.3447,6.8037,87
Iceland,ISL,3.9773,15.7087,87
India,IND,0.7779,2.1079,60
Indonesia,IDN,0.3767,2.0532,52
"Iran, Islamic Rep.",IRN,1.1292,2.6286,80
Iraq,IRQ,0.8375,1.8126,48
Ireland,IRL,3.2946,16.0996,87
Israel,ISR,3.4783,5.7002,87
Italy,ITA,3.9805,6.0605,87
Jamaica,JAM,1.3061,1.4674,80
Japan,JPN,2.4115,12.1531,87
Jordan,JOR,2.3237,3.3598,80
Kazakhstan,KAZ,3.98,7.2936,100
Kenya,KEN,0.1565,1.0587,52
Kiribati,KIR,1.24681,3.8342,80
"Korea, Rep.",KOR,2.3608,7.1203,94
Kuwait,KWT,2.6463,7.3489,87
Kyrgyz Republic,KGZ,2.213,5.9445,87
Lao PDR,LAO,0.3726,1.2643,49
Latvia,LVA,3.1905,4.7517,87
Lebanon,LBN,2.0255,1.6418,87
Lesotho,LSO,0.38815,3.2567,51
Liberia,LBR,0.0376,0.5321,53
Lithuania,LTU,4.8257,7.9795,87
Luxembourg,LUX,3.009,12.1744,87
Madagascar,MDG,0.1812,0.146,53
Malawi,MWI,0.0358,0.4386,50
Malaysia,MYS,1.5358,3.4676,87
Maldives,MDV,3.7228,6.4927,80
Mali,MLI,0.1286,0.3585,63
Malta,MLT,2.8598,9.4833,87
Marshall Islands,MHL,1.24681,3.339,80
Mauritania,MRT,0.1847,1.0673,59
Mauritius,MUS,2.3147,3.5152,80
Mexico,MEX,2.3827,2.5076,80
"Micronesia, Fed. Sts.",FSM,1.24681,2.0426,80
Moldova,MDA,3.2066,4.9235,87
Monaco,MCO,7.5067,20.1609,86
Mongolia,MNG,2.8592,3.8313,32
Montenegro,MNE,2.7557,5.2294,87
Morocco,MAR,0.7308,1.3887,87
Mozambique,MOZ,0.0761,0.6842,54
Myanmar,MMR,0.8638,1.0054,69
Namibia,NAM,0.5914,2.0199,63
Nauru,NRU,1.3462,7.6636,87
Nepal,NPL,0.9101,2.8479,74
Netherlands,NLD,3.6054,11.1839,87
New Zealand,NZL,3.4728,12.3207,87
Nicaragua,NIC,0.9895,1.5524,80
Niger,NER,0.0433,0.2695,54
Nigeria,NGA,0.3806,1.1792,24
North Macedonia,MKD,2.8736,3.7917,80
Norway,NOR,2.8342,18.1559,87
Oman,OMN,1.9572,4.2731,87
Pakistan,PAK,1.0005,0.5986,65
Palau,PLW,1.4205,7.2626,87
Panama,PAN,1.5687,3.0866,80
Papua New Guinea,PNG,0.0699,0.2253,72
Paraguay,PRY,0.2399,0.7387,87
Peru,PER,1.3048,2.213,80
Philippines,PHL,0.6004,5.2744,54
Poland,POL,2.3788,5.7029,87
Portugal,PRT,5.124,6.9746,87
Qatar,QAT,0.0008,7.2628,87
Romania,ROU,2.9807,7.3891,87
Russian Federation,RUS,4.0139,8.5429,99
Rwanda,RWA,0.1371,1.1229,80
Samoa,WSM,0.3445,2.4885,87
San Marino,SMR,6.1094,8.2067,86
Sao Tome and Principe,STP,0.0531,1.9242,57
Saudi Arabia,SAU,2.5366,5.4627,87
Senegal,SEN,0.0691,0.3127,72
Serbia,SRB,3.1131,6.0855,87
Seychelles,SYC,2.1212,8.0773,87
Sierra Leone,SLE,0.38815,0.2239,71
Singapore,SGP,2.2936,6.2432,87
Slovak Republic,SVK,3.4156,6.0671,87
Slovenia,SVN,3.0861,9.9745,87
Solomon Islands,SLB,0.1937,2.1642,80
Somalia,SOM,0.023,0.1119,43
South Africa,ZAF,0.9054,1.3078,75
Spain,ESP,3.8723,5.7295,87
Sri Lanka,LKA,0.9277,1.9966,61
St. Kitts and Nevis,KNA,2.6758,4.2188,87
St. Lucia,LCA,0.6409,3.1547,87
St. Vincent and the Grenadines,VCT,2.023577273,6.3115,87
Sudan,SDN,0.2618,0.6952,65
Suriname,SUR,1.1849,1.9281,80
Sweden,SWE,3.984,11.8164,87
Switzerland,CHE,4.2957,17.5357,87
Tajikistan,TJK,2.1026,4.7534,79
Tanzania,TZA,0.014,0.5843,46
Thailand,THA,0.8075,2.9573,74
Timor-Leste,TLS,0.7504,1.7413,56
Togo,TGO,0.0299,0.4201,81
Tonga,TON,1.24681,4.157,87
Trinidad and Tobago,TTO,3.3646,5.6441,87
Tunisia,TUN,1.3025,2.5136,80
Turkey,TUR,1.8492,2.7107,87
Turkmenistan,TKM,2.2247,4.4273,80
Tuvalu,TUV,0.9174,4.2609,87
Uganda,UGA,0.168,1.4686,55
Ukraine,UKR,2.9923,6.661,73
United Arab Emirates,ARE,2.4356,5.6829,87
United Kingdom,GBR,2.7863,8.2245,89
United States,USA,2.612,14.548,87
Uruguay,URY,5.0794,1.9412,87
Uzbekistan,UZB,2.3742,11.2804,72
Vanuatu,VUT,0.1653,1.4247,63
"Venezuela, RB",VEN,2.085545455,0.9416,80
Vietnam,VNM,0.8281,1.4463,58
"Yemen, Rep.",YEM,0.5251,0.7682,73
Zambia,ZMB,1.1867,1.2988,59
Zimbabwe,ZWE,0.1859,2.5972,82
